=== VSI Log Started at 11/16/2025 11:18:12 PM ===
Zero Marker set to: 90°
Needle initialized to 90° (zero marker). Actual rotation: 90°
Frame 10200: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 10260: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 10320: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 10380: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 10440: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 10500: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 10560: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 10620: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 10680: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 10740: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 10800: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 10860: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 10920: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 10980: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 11040: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 11100: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 11160: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 11220: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 11280: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 11340: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 11400: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 11460: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 11520: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 11580: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 11640: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 11700: Speed=5.19 m/s, Rotation=46.7°, Current=89.3°, Target=136.7°
Frame 11760: Speed=0.00 m/s, Rotation=0.0°, Current=96.3°, Target=90.0°
Frame 11820: Speed=0.00 m/s, Rotation=0.0°, Current=98.3°, Target=90.0°
Frame 11880: Speed=0.00 m/s, Rotation=0.0°, Current=98.7°, Target=90.0°
Frame 11940: Speed=0.00 m/s, Rotation=0.0°, Current=99.1°, Target=90.0°
Frame 12000: Speed=5.37 m/s, Rotation=48.3°, Current=98.6°, Target=138.3°
Frame 12060: Speed=0.00 m/s, Rotation=0.0°, Current=98.8°, Target=90.0°
Frame 12120: Speed=0.00 m/s, Rotation=0.0°, Current=99.0°, Target=90.0°
Frame 12180: Speed=0.00 m/s, Rotation=0.0°, Current=99.0°, Target=90.0°
Frame 12240: Speed=0.00 m/s, Rotation=0.0°, Current=99.2°, Target=90.0°
Frame 12300: Speed=5.05 m/s, Rotation=45.4°, Current=98.7°, Target=135.4°
Frame 12360: Speed=5.77 m/s, Rotation=51.9°, Current=98.7°, Target=141.9°
Frame 12420: Speed=0.00 m/s, Rotation=0.0°, Current=98.8°, Target=90.0°
Frame 12480: Speed=0.00 m/s, Rotation=0.0°, Current=99.2°, Target=90.0°
Frame 12540: Speed=4.97 m/s, Rotation=44.7°, Current=98.6°, Target=134.7°
Frame 12600: Speed=0.00 m/s, Rotation=0.0°, Current=99.3°, Target=90.0°
Frame 12660: Speed=5.45 m/s, Rotation=49.0°, Current=98.6°, Target=139.0°
Frame 12720: Speed=5.57 m/s, Rotation=50.1°, Current=98.7°, Target=140.1°
Frame 12780: Speed=0.00 m/s, Rotation=0.0°, Current=99.3°, Target=90.0°
Frame 12840: Speed=5.45 m/s, Rotation=49.1°, Current=98.7°, Target=139.1°
Frame 12900: Speed=0.00 m/s, Rotation=0.0°, Current=99.0°, Target=90.0°
Frame 12960: Speed=0.00 m/s, Rotation=0.0°, Current=99.1°, Target=90.0°
Frame 13020: Speed=0.00 m/s, Rotation=0.0°, Current=99.0°, Target=90.0°
Frame 13080: Speed=4.76 m/s, Rotation=42.9°, Current=98.6°, Target=132.9°
Frame 13140: Speed=0.00 m/s, Rotation=0.0°, Current=99.0°, Target=90.0°
Frame 13200: Speed=0.00 m/s, Rotation=0.0°, Current=99.0°, Target=90.0°
Frame 13260: Speed=0.00 m/s, Rotation=0.0°, Current=94.0°, Target=90.0°
Frame 13320: Speed=0.00 m/s, Rotation=0.0°, Current=110.0°, Target=90.0°
Frame 13380: Speed=0.00 m/s, Rotation=0.0°, Current=116.0°, Target=90.0°
Frame 13440: Speed=0.00 m/s, Rotation=0.0°, Current=117.4°, Target=90.0°
Frame 13500: Speed=16.92 m/s, Rotation=152.3°, Current=115.7°, Target=242.3°
Frame 13560: Speed=0.00 m/s, Rotation=0.0°, Current=116.8°, Target=90.0°
Frame 13620: Speed=0.00 m/s, Rotation=0.0°, Current=116.2°, Target=90.0°
Frame 13680: Speed=0.00 m/s, Rotation=0.0°, Current=117.5°, Target=90.0°
Frame 13740: Speed=0.00 m/s, Rotation=0.0°, Current=118.2°, Target=90.0°
Frame 13800: Speed=16.75 m/s, Rotation=150.7°, Current=115.9°, Target=240.7°
Frame 13860: Speed=7.92 m/s, Rotation=71.3°, Current=116.5°, Target=161.3°
Frame 13920: Speed=14.33 m/s, Rotation=129.0°, Current=116.0°, Target=219.0°
Frame 13980: Speed=0.00 m/s, Rotation=0.0°, Current=117.4°, Target=90.0°
Frame 14040: Speed=0.00 m/s, Rotation=0.0°, Current=118.2°, Target=90.0°
Frame 14100: Speed=0.00 m/s, Rotation=0.0°, Current=117.0°, Target=90.0°
Frame 14160: Speed=15.73 m/s, Rotation=141.5°, Current=115.9°, Target=231.5°
Frame 14220: Speed=13.56 m/s, Rotation=122.0°, Current=116.0°, Target=212.0°
Frame 14280: Speed=15.05 m/s, Rotation=135.5°, Current=115.9°, Target=225.5°
Frame 14340: Speed=17.01 m/s, Rotation=153.1°, Current=115.8°, Target=243.1°
Frame 14400: Speed=0.00 m/s, Rotation=0.0°, Current=117.5°, Target=90.0°
Frame 14460: Speed=0.00 m/s, Rotation=0.0°, Current=116.2°, Target=90.0°
Frame 14520: Speed=0.00 m/s, Rotation=0.0°, Current=116.7°, Target=90.0°
Frame 14580: Speed=0.00 m/s, Rotation=0.0°, Current=116.5°, Target=90.0°
Frame 14640: Speed=0.00 m/s, Rotation=0.0°, Current=116.2°, Target=90.0°
Frame 14700: Speed=0.00 m/s, Rotation=0.0°, Current=118.1°, Target=90.0°
Frame 14760: Speed=0.00 m/s, Rotation=0.0°, Current=118.0°, Target=90.0°
Frame 14820: Speed=0.00 m/s, Rotation=0.0°, Current=118.2°, Target=90.0°
Frame 14880: Speed=13.90 m/s, Rotation=125.1°, Current=116.0°, Target=215.1°
Frame 14940: Speed=0.00 m/s, Rotation=0.0°, Current=118.1°, Target=90.0°
Frame 15000: Speed=0.00 m/s, Rotation=0.0°, Current=117.9°, Target=90.0°
Frame 15060: Speed=0.00 m/s, Rotation=0.0°, Current=118.3°, Target=90.0°
Frame 15120: Speed=0.00 m/s, Rotation=0.0°, Current=117.2°, Target=90.0°
Frame 15180: Speed=0.00 m/s, Rotation=0.0°, Current=117.6°, Target=90.0°
Frame 15240: Speed=0.00 m/s, Rotation=0.0°, Current=116.2°, Target=90.0°
Frame 15300: Speed=0.00 m/s, Rotation=0.0°, Current=116.5°, Target=90.0°
Frame 15360: Speed=0.00 m/s, Rotation=0.0°, Current=116.6°, Target=90.0°
Frame 15420: Speed=0.00 m/s, Rotation=0.0°, Current=116.6°, Target=90.0°
Frame 15480: Speed=0.00 m/s, Rotation=0.0°, Current=117.9°, Target=90.0°
Frame 15540: Speed=0.00 m/s, Rotation=0.0°, Current=118.1°, Target=90.0°
Frame 15600: Speed=0.00 m/s, Rotation=0.0°, Current=117.1°, Target=90.0°
Frame 15660: Speed=11.29 m/s, Rotation=101.6°, Current=115.8°, Target=191.6°
Frame 15720: Speed=15.19 m/s, Rotation=136.7°, Current=115.7°, Target=226.7°
Frame 15780: Speed=0.00 m/s, Rotation=0.0°, Current=117.3°, Target=90.0°
Frame 15840: Speed=0.00 m/s, Rotation=0.0°, Current=116.7°, Target=90.0°
Frame 15900: Speed=0.00 m/s, Rotation=0.0°, Current=116.1°, Target=90.0°
Frame 15960: Speed=0.00 m/s, Rotation=0.0°, Current=116.3°, Target=90.0°
Frame 16020: Speed=0.00 m/s, Rotation=0.0°, Current=117.8°, Target=90.0°
Frame 16080: Speed=0.00 m/s, Rotation=0.0°, Current=117.5°, Target=90.0°
Frame 16140: Speed=0.00 m/s, Rotation=0.0°, Current=116.5°, Target=90.0°
Frame 16200: Speed=16.84 m/s, Rotation=151.5°, Current=116.1°, Target=241.5°
Frame 16260: Speed=0.00 m/s, Rotation=0.0°, Current=117.0°, Target=90.0°
Frame 16320: Speed=16.40 m/s, Rotation=147.6°, Current=115.9°, Target=237.6°
Frame 16380: Speed=0.00 m/s, Rotation=0.0°, Current=116.7°, Target=90.0°
Frame 16440: Speed=0.00 m/s, Rotation=0.0°, Current=118.4°, Target=90.0°
Frame 16500: Speed=0.00 m/s, Rotation=0.0°, Current=116.6°, Target=90.0°
Frame 16560: Speed=0.00 m/s, Rotation=0.0°, Current=118.1°, Target=90.0°
Frame 16620: Speed=0.00 m/s, Rotation=0.0°, Current=116.6°, Target=90.0°
Frame 16680: Speed=16.34 m/s, Rotation=147.1°, Current=115.6°, Target=237.1°
Frame 16740: Speed=15.80 m/s, Rotation=142.2°, Current=116.0°, Target=232.2°
Frame 16800: Speed=12.78 m/s, Rotation=115.1°, Current=116.2°, Target=205.1°
Frame 16860: Speed=0.00 m/s, Rotation=0.0°, Current=118.1°, Target=90.0°
Frame 16920: Speed=15.93 m/s, Rotation=143.4°, Current=115.9°, Target=233.4°
Frame 16980: Speed=0.00 m/s, Rotation=0.0°, Current=118.1°, Target=90.0°
Frame 17040: Speed=0.00 m/s, Rotation=0.0°, Current=116.2°, Target=90.0°
Frame 17100: Speed=0.00 m/s, Rotation=0.0°, Current=117.9°, Target=90.0°
Frame 17160: Speed=0.00 m/s, Rotation=0.0°, Current=117.0°, Target=90.0°
Frame 17220: Speed=0.00 m/s, Rotation=0.0°, Current=116.9°, Target=90.0°
Frame 17280: Speed=0.00 m/s, Rotation=0.0°, Current=117.0°, Target=90.0°
Frame 17340: Speed=0.00 m/s, Rotation=0.0°, Current=117.1°, Target=90.0°
Frame 17400: Speed=16.12 m/s, Rotation=145.1°, Current=115.8°, Target=235.1°
Frame 17460: Speed=0.00 m/s, Rotation=0.0°, Current=117.9°, Target=90.0°
Frame 17520: Speed=0.00 m/s, Rotation=0.0°, Current=117.6°, Target=90.0°
Frame 17580: Speed=0.00 m/s, Rotation=0.0°, Current=117.9°, Target=90.0°
Frame 17640: Speed=0.00 m/s, Rotation=0.0°, Current=116.2°, Target=90.0°
Frame 17700: Speed=16.85 m/s, Rotation=151.6°, Current=116.0°, Target=241.6°
Frame 17760: Speed=13.26 m/s, Rotation=119.3°, Current=115.9°, Target=209.3°
Frame 17820: Speed=0.00 m/s, Rotation=0.0°, Current=117.4°, Target=90.0°
Frame 17880: Speed=16.32 m/s, Rotation=146.9°, Current=115.9°, Target=236.9°
Frame 17940: Speed=0.00 m/s, Rotation=0.0°, Current=117.5°, Target=90.0°
Frame 18000: Speed=13.63 m/s, Rotation=122.7°, Current=115.7°, Target=212.7°
Frame 18060: Speed=16.35 m/s, Rotation=147.2°, Current=115.6°, Target=237.2°
Frame 18120: Speed=15.41 m/s, Rotation=138.7°, Current=116.1°, Target=228.7°
Frame 18180: Speed=0.00 m/s, Rotation=0.0°, Current=117.1°, Target=90.0°
